All,الكل
Please enter a store ID to send email notifications.,Please enter a store ID to send email notifications.
Please specify a customer ID.,Please specify a customer ID.
Please specify a valid customer.,Please specify a valid customer.
Created,إنشاء
Updated,محدث
Used,المستخدمة
Refunded,اعادة ايجاد
Reverted,Reverted
You need a balance to save your balance history.,You need a balance to save your balance history.
Order #%1,رقم الطلب #%1
There is no credit memo set to balance model.,There is no credit memo set to balance model.
"Order #%1, creditmemo #%2","Order #%1, creditmemo #%2"
Unknown balance history action code,Unknown balance history action code
There is no order set to balance model.,There is no order set to balance model.
You do not have enough store credit to complete this order.,You do not have enough store credit to complete this order.
You can't use more store credit than the order amount.,لا يمكنك استخدام مبلغ أئتمان أكثر من مبلغ الطلب.
Store Credit Balance,Store Credit Balance
Balance History,Balance History
Refund Store Credit to Store Credit,Refund Store Credit to Store Credit
Refund Money to Store Credit,Refund Money to Store Credit
Refund to Store Credit,Refund to Store Credit
Use Store Credit (%1 available),Use Store Credit (%1 available)
Your balance is:,الرصيد الخاص بك هو:
Use Store Credit,Use Store Credit
available,مٌتاح
Remove,ازالة
Refunded to Store Credit,Refunded to Store Credit
Store Credit update,Store Credit update
"%name,",%name،
We have updated your <a href="%store_url">%store_name</a> account and you have credit that you can use for future purchases.,We have updated your <a href="%store_url">%store_name</a> account and you have credit that you can use for future purchases.
Your Store Credit balance is now %balance.,Your Store Credit balance is now %balance.
Store credit,نقاط المتجر
Store credit available,Store credit available
Your store credit was successfully applied,Your store credit was successfully applied
Store Credit Options,Store Credit Options
Enable Store Credit Functionality,Enable Store Credit Functionality
Show Store Credit History to Customers,Show Store Credit History to Customers
Refund Store Credit Automatically,Refund Store Credit Automatically
Store Credit Update Email Sender,Store Credit Update Email Sender
Store Credit Update Email Template,Store Credit Update Email Template
Customer Address Attributes,سمات عنوان العميل
Add New Attribute,اضافة سمة جديدة
Save and Continue Edit,حفظ ومواصلة التعديل
Save Attribute,حفظ السمات
Delete Attribute,حذف السمة
Edit Customer Address Attribute "%1",تعديل سمة عنوان العميل "%1"
New Customer Address Attribute,سمة عنوان العميل الجديد
Input Type,نوع الإدخال
Lines Count,عدد الأسطر
Valid range 2-20,النطاق الصالح 2-20
Input Validation,التحقق من صحة المدخلات
None,لا شئ
Minimum Text Length,Minimum Text Length
Maximum Text Length,Maximum Text Length
Maximum File Size (bytes),Maximum File Size (bytes)
File Extensions,امتدادات الملفات
Comma separated,بينها فاصلة
Maximum Image Width (px),Maximum Image Width (px)
Maximum Image Height (px),ارتفاع الصورة كحد أقصى (px)
Input/Output Filter,Input/Output Filter
Minimal value,قيمة الحد الأدنى
Maximum value,الحد الأقصى للقيمة
Add to Column Options,إضافة إلى خيارات الأعمدة
Select "Yes" to add this attribute to the list of column options in the customer grid.,اختر "نعم" لإضافة هذه السمة إلى قائمة خيارات العمود في شبكة العميل.
Use in Filter Options,استخدام خيارات التصفية
Select "Yes" to add this attribute to the list of filter options in the customer grid.,اختر "نعم" لإضافة هذه السمة إلى قائمة خيارات العمود في شبكة العميل.
Use in Search Options,استخدام في خيارات البحث
Use in Search Option,استخدام في خيارات البحث
Select "Yes" to add this attribute to the list of search options in the customer grid.,اختر "نعم" لإضافة هذه السمة إلى قائمة خيارات العمود في شبكة العميل.
Storefront Properties,خصائص الواجهة
Show on Storefront,إظهار في الواجهة
Sort Order,الترتيب
Forms to Use In,Forms to Use In
Properties,خصائص
Manage Label / Options,ادارة علامة/ خيارات
Attribute Information,معلومات السمة
Visible to Customer,مرئية للعملاء
No,لا
Yes,نعم
Customer Attributes,سمات العميل
Edit Customer Attribute "%1",Edit Customer Attribute "%1"
New Customer Attribute,New Customer Attribute
This is used internally. Make sure you don't use spaces or more than %1 symbols.,إستخدام داخلي. تأكد من أن كنت لا تستخدم مسافات أو أكثر من %1 رمز.
Manage Form Types,Manage Form Types
New Form Type,نوع النموذج الجديد
Edit Form Type "%1",تعديل نوع النموذج "%1"
General Information,المعلومات العامة
-- Please Select --,--الرجاء الاختيار-
Based On,اعتمادا على
Form Label,تسمية النموذج
All Themes,جميع القوالب
For Theme,للقالب
Store View,عرض المتجر
Form Code,Form Code
Form Title,عنوان النموذج
General,عام
New Fieldset,مجموعة-حقول جديدة
Save,حفظ
Remove,ازالة
